Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.253002378,0.28759564,-0.119601669,-0.164066454,0.026202085
-0.641193282,0.49078759,-0.119601669,-0.300788499,-0.048495571
-0.479134015,0.519857554,0.048416173,-0.328132908,-0.598305066
0.502091542,-0.755189109,1.286217641,-0.314460704,-0.14577624
1.485195442,-1.686916974,2.057575574,-0.191410863,0.896806165
1.388982535,-1.364215171,0.968464955,-0.068361023,2.206331359
0.534962546,-0.76073279,0.075479194,-0.095705432,1.338043485
-0.099291303,0.16270246,-0.119601669,-0.164066454,0.008251485
-0.280342705,0.496835242,-0.119601669,-0.191410863,-0.35394529
-0.490612778,0.264092265,-0.119601669,-0.232427477,0.326729865
-0.632010272,-0.592566826,-0.000399524,-0.287116295,0.960212316
0.12882303,-1.355853834,1.403942972,-0.314460704,0.43327536
0.822035981,-1.831739917,1.940699233,-0.27344409,2.15247956
1.143232648,-1.574966685,1.835970335,-0.205083068,2.575187228
0.213974583,-0.642895204,0.025541023,-0.246099681,0.915335817
-0.265837723,-0.245284983,-0.119601669,-0.246099681,0.272588541
-0.500839313,-0.146048509,-0.119601669,-0.314460704,-0.016647733
-0.965103112,0.214840552,-0.119601669,-0.27344409,-0.168648778
-0.765685688,-0.152233608,0.076782404,-0.164066454,0.268245654
0.294012869,-1.290864481,1.215535118,-0.068361023,-0.078027203
1.10712672,-1.669759051,1.662973896,0.068361023,0.921705384
1.053698294,-1.298401138,1.002796704,-0.054688818,2.982260503
0.236723405,-0.894262201,0.00603805,0.082033227,1.615988253
-0.312900652,-0.063465986,-0.119601669,0.246099681,0.437618247
-0.544354261,0.114825214,-0.119601669,-0.054688818,0.58904024
-0.805652655,0.156402822,-0.119601669,-0.232427477,-0.378844509
-0.958737616,0.748454224,-0.029321047,-0.259771886,-0.458174578
-0.259889636,0.114389966,0.98849825,0.382821726,0.114507454
0.630653691,-0.910045657,1.540627876,0.505871567,0.998719247
0.48675174,-1.079379917,0.981112994,0.109377636,2.335459865
-0.365076849,-0.108937916,-0.033768134,0.082033227,0.811106529
-0.786764871,0.578524361,-0.119601669,0.027344409,-0.204549978
-0.908857172,0.067039599,-0.119601669,-0.041016614,-0.390136015
-1.190191225,0.265237653,-0.119601669,-0.191410863,-0.419667647
-1.304248391,0.499927791,0.012602854,-0.300788499,-0.532872235
-0.396278215,-0.573003588,0.805279456,-0.27344409,0.062103284
0.860333309,-1.483541762,3.076114253,-0.218755272,1.093683709
0.746693552,-1.431220408,1.208642133,-0.15039425,2.188380759
0.040436553,-0.675401335,0.006736029,-0.177738659,0.711220128
-0.541954156,0.061656272,-0.119601669,-0.246099681,0.048495571
-0.60446124,-0.04603317,-0.119601669,-0.328132908,-0.292855347
-0.791878139,0.01620725,-0.119601669,-0.355477317,-0.206576658
-0.956337511,0.096407364,0.058363855,-0.328132908,-0.417351441
0.238914805,-0.985480954,1.783204578,-0.314460704,0.306463059
1.382512686,-1.786451249,2.682512575,-0.191410863,1.376550416
1.227236325,-1.429937572,1.149989337,-0.082033227,2.851105315
0.149171747,-0.577745497,-0.023648039,-0.259771886,1.098316122
-0.336588646,0.07514895,-0.119601669,-0.355477317,0.274904747
-0.545815195,0.02926468,-0.119601669,-0.355477317,0.937629303
-0.714866072,-0.508930546,-0.119601669,-0.355477317,0.482784271
-0.8228708,-0.71290136,0.048560049,-0.382821726,-0.025623033
0.091986635,-1.127875673,1.198862109,-0.396493931,1.100342803
0.982321257,-1.638421217,2.369007214,-0.355477317,0.989743947
1.528188628,-1.830136372,1.374190296,-0.355477317,2.290293841
0.200408772,-0.461832164,-0.048763379,-0.355477317,1.093394184
-0.341806265,0.454318414,-0.119601669,-0.355477317,0.089608235
-0.532875498,0.533716757,-0.119601669,-0.369149522,-0.152724859
-0.6703076,0.60713617,-0.119601669,-0.396493931,-0.36089391
-0.683560354,0.585763218,2.61593E-05,-0.041016614,-0.430959153
0.511900667,-0.698813079,1.990155834,1.462925883,-0.016937259
1.931301924,-1.972072936,3.871605362,1.927780837,2.86731876
1.746180778,-1.73777223,1.640598152,1.531286906,3.224304071
0.594652115,-0.849500412,0.058437576,0.683610226,1.064441604
-0.172964092,0.058357553,-0.119601669,0.478527158,0.480757591
-0.446889126,0.630066851,-0.119601669,0.095705432,-0.636522471
-0.506578695,0.869773791,-0.119601669,-0.218755272,-0.455858372
-0.508352685,0.686855221,-0.027624258,-0.232427477,0.016937259
-0.094491092,0.269933747,0.935184336,0.451182749,1.034909972
0.625749128,-0.587687471,1.853016709,1.025415339,1.43966704
0.508352685,-0.436725245,0.884083264,0.464854953,0.964844728
-0.112335352,0.216146295,-0.042948872,0.109377636,0.63246911
-0.478299196,0.691528407,-0.119601669,-0.15039425,-0.496391984
-0.5133616,0.690520465,-0.119601669,-0.15039425,-0.084975822
-0.570651064,0.69787386,-0.119601669,-0.068361023,-0.182256491
-0.554372091,0.692879966,-0.015738407,-0.27344409,-0.026202085
0.158354757,0.011442433,1.265885893,-0.246099681,0.014621053
0.868994558,-0.652791362,2.042687346,-0.218755272,1.206598771
0.636914834,-0.373889222,1.147260443,-0.218755272,1.596010972
0.007461196,0.081288234,-0.023631392,-0.287116295,0.72280116
-0.398782672,0.446919204,-0.119601669,-0.314460704,0.439934453
-0.509291857,0.3393443,-0.119601669,-0.314460704,0.462806991
-0.672707705,0.362916399,-0.119601669,-0.27344409,0.322386978
-0.527657878,0.298270663,-0.02730559,0.041016614,-0.292855347
0.223470651,-0.350385847,1.093567219,0.041016614,0.736408872
0.970946846,-0.90024113,1.741074969,0.15039425,1.745116759
1.103787443,-1.186817374,0.942707523,0.082033227,1.874245266
0.450958869,-0.721171066,0.018560048,-0.218755272,1.245105703
-0.299439193,0.481670296,-0.119601669,-0.341805113,0.182256491
-0.407756978,0.508724376,-0.119601669,-0.355477317,0.069341429
-0.80982675,0.605509718,-0.119601669,-0.355477317,-0.112191247
-0.661855056,0.510625721,-0.02743163,-0.355477317,-0.290828666
0.529744926,-0.820705341,1.968558924,-0.341805113,0.376528303
1.386999839,-1.447003864,1.74516296,-0.123049841,1.218179803
1.704648525,-1.934916528,1.633661172,0.177738659,2.971258522
0.75138941,-1.295675113,0.099063024,0.451182749,1.102659009
-0.196339029,0.022323625,-0.119601669,0.246099681,0.250005528
-0.435514715,0.556509991,-0.119601669,0.109377636,-0.193258471
-0.555728672,0.69952322,-0.119601669,-0.068361023,-0.381160716
-0.515135591,0.616276372,0.009611177,0.027344409,-0.046179365
0.4719337,-0.663603831,1.099762225,1.462925883,-0.42632674
1.221496943,-1.337848324,1.685860936,1.093776361,2.439689153
1.685030275,-1.843285434,1.677224789,0.505871567,2.898587546
0.875881816,-1.098828617,0.131092751,0.287116295,0.917362497
-0.475272977,0.305074271,-0.119601669,-0.232427477,-0.166332572
-0.833201687,0.737343954,-0.119601669,-0.369149522,-0.29053914
-0.884960474,0.76618484,-0.119601669,-0.396493931,-0.725117366
-0.710065862,0.554906447,0.004731272,-0.341805113,-0.315438359
0.558337482,-1.012053971,1.9332462,-0.013672205,0.394768428
2.332745582,-2.534596218,3.637267661,0.875021089,1.100632329
2.730536907,-2.653418838,1.63455059,1.54495911,2.923776291
0.924405679,-0.798324446,0.132518435,1.709025564,1.819814416
-0.049202154,0.280356784,-0.119601669,0.957054316,-0.243056909
-0.521501087,0.601294688,-0.119601669,0.560560385,-0.35191861
-0.784782176,0.888122918,-0.119601669,0.041016614,-0.220473897
-0.823705619,0.685182954,-0.008032105,-0.341805113,-0.374212096
0.196443381,-0.516352665,1.39616057,-0.382821726,-0.274904747
2.219418883,-2.422302313,3.71123318,-0.27344409,0.840348634
2.309683704,-2.165918514,1.124707529,-0.123049841,2.697656641
0.804713483,-0.937764063,-0.030386446,-0.082033227,0.70485056
-0.160859215,0.147010635,-0.119601669,-0.136722045,0.141433353
-0.319579205,0.499378005,-0.119601669,-0.109377636,-0.557481928
-0.350154457,0.433609787,-0.119601669,-0.109377636,-0.376528303
-0.488734435,0.19623944,0.122586211,0.451182749,-0.374501622
0.981173381,-1.292857457,1.719399582,0.601576999,-0.173281191
2.650602973,-2.725074353,3.684551848,1.96879745,1.220206484
2.382417322,-2.216750863,1.508615984,2.638735471,3.586500847
0.999330697,-1.151928835,-0.053483949,0.806660066,0.745384172
0.050454382,0.238343928,-0.119601669,0.15039425,0.401427522
-0.210948364,0.675355519,-0.119601669,0.013672205,-0.446593546
-0.431549324,0.925210603,-0.119601669,-0.164066454,-0.58006494
-0.649332769,0.217704024,0.075051132,-0.328132908,-0.410402821
1.028445015,-1.4877797,2.622865724,-0.15039425,0.078316729
2.580165108,-2.817140694,3.491381805,1.162137384,0.903754785
1.409226899,-1.38593174,0.528122491,3.923922696,1.797231403
0.047428163,0.644659103,-0.097488707,5.523570624,-0.202233771
-0.22211407,0.697301166,-0.119601669,3.076246016,-0.263323715
-0.451689336,0.739657639,-0.119601669,1.681681155,-0.503630129
-0.440836687,0.839169006,-0.119601669,1.230498406,-0.349312878
-0.52118803,0.838344326,-0.017388823,0.396493931,-0.455858372
-0.029270846,0.045804093,0.459799064,0.314460704,-0.42632674
0.562511578,-0.667979216,1.629775322,0.710954635,0.016937259
0.870768548,-0.839947871,0.916168877,0.806660066,0.910413878
-0.033236237,0.100003884,-0.067479194,0.779315657,-0.13477426
-0.429566628,0.569888131,-0.119601669,1.12112077,-0.401427522
-0.557085253,0.575775429,-0.119601669,0.929709907,-0.43530204
-0.626479595,0.715192137,-0.119601669,0.082033227,-0.317754565
-0.704222128,0.830372421,0.026278241,-0.232427477,-0.650130184
0.733232094,-0.841482691,1.957782468,0.068361023,0.283880047
1.107857187,-1.134106588,1.519434058,0.943382111,0.553139041
1.562207508,-1.480632475,1.319500639,1.832075405,0.858299234
0.414644236,0.058151383,-0.063624259,1.886764223,0.304436379
-0.131536192,0.691711669,-0.119601669,1.654336746,-0.121166547
-0.428627457,0.80095884,-0.119601669,1.832075405,0.019253466
-0.582860294,0.771293274,-0.119601669,1.873092018,-0.053127984
-0.569294483,0.743116713,0.018416172,1.353548247,-0.276931428
0.341701913,-0.391459484,1.192967935,0.984398725,-0.408376141
1.191652159,-1.093101674,1.767965576,1.558631315,0.668370309
0.978460218,-0.619758353,0.803030942,1.531286906,0.648103503
0.245384654,0.159747357,0.010621879,1.011743134,0.148092447
-0.213974583,0.492757658,-0.119601669,0.683610226,-0.019253466
-0.416939989,0.511473309,-0.119601669,0.382821726,-0.20918239
-0.630758043,0.769162851,-0.119601669,0.054688818,-0.240740703
-0.563346397,0.754204075,-0.012121285,-0.164066454,-0.485100478
0.391791062,-0.382594176,1.318711102,0.259771886,-0.250005528
1.139580314,-1.143315513,2.111899001,1.435581474,0.713536334
1.033558282,-0.907228001,1.156191478,1.996141859,1.899144485
0.599869735,-0.58594648,0.01977289,1.996141859,0.046468891
-0.13320583,0.209159424,-0.119601669,2.351619176,-0.263323715
-0.512005019,0.593758031,-0.119601669,4.019628127,-0.299803966
-0.654341684,0.81248145,-0.119601669,4.607532921,-0.129852321
-0.826418781,0.604547592,-0.038443521,1.54495911,-0.102926422
-0.111709237,-0.369765823,1.501341311,-0.136722045,-0.181966965
0.828505829,-1.429571048,1.733183173,-0.095705432,0.272588541
1.075507945,-1.172935264,1.500730134,-0.068361023,0.446883072
0.629923224,-0.706395552,0.062151013,-0.15039425,0.182256491
-0.091673578,0.142795605,-0.119601669,-0.218755272,-0.353655765
-0.62407949,0.733770341,-0.119601669,-0.287116295,-0.460201259
-0.570964122,0.836305535,-0.119601669,-0.341805113,-0.285906727
-0.642654216,0.891833977,-0.080170038,-0.218755272,-0.50768349
-0.37864266,0.625416573,0.41425804,0.095705432,-0.403743728
0.287543021,-0.244551934,1.276626678,1.066431952,0.272588541
0.80325255,-1.155983511,1.457431678,2.96686838,-0.062103284
0.405252521,-0.583747334,0.068741976,3.048901607,-0.091634916
-0.309561376,0.589291015,-0.119601669,0.970726521,-0.448909753
-0.448663116,0.716864404,-0.119601669,0.068361023,-0.157067746
-0.568772721,0.671758999,-0.119601669,-0.259771886,-0.383187396
-0.624705604,0.757388255,-0.033156957,-0.382821726,-0.261007509
0.2387061,-0.218116364,1.341648083,-0.355477317,0.030544972
1.812757605,-1.799806481,3.179083341,-0.054688818,-0.066735697
1.672716693,-1.369873391,0.89936745,0.546888181,1.236130403
0.14322366,-0.755784711,-0.091634961,0.834004475,0.919389178
-0.466924785,0.335587425,-0.119601669,0.396493931,-0.528239822
-0.665298685,0.623881753,-0.119601669,0,-0.403454202
-0.699839328,0.659182631,-0.119601669,-0.232427477,-0.58006494
-0.681368954,0.686190896,0.036324615,-0.314460704,-0.638838678
0.463168099,-0.508174589,1.328552958,-0.054688818,0.22713299
1.361850913,-1.254532752,2.036739664,0.177738659,0.905781465
1.80555729,-1.623531165,1.937327057,0.328132908,1.589062353
0.730936341,-0.633159401,0.095822833,0.246099681,0.912440559
-0.325944701,0.405868474,-0.119601669,-0.068361023,0.118850341
-0.451689336,0.625095865,-0.119601669,-0.259771886,-0.159673479
-0.584321228,0.66371837,-0.119601669,-0.355477317,-0.347286197
-0.483099406,0.663420569,0.018508919,-0.341805113,-0.457885053
0.647454426,-0.732945661,2.050120164,-0.232427477,0.22713299
1.743780673,-1.603945019,2.804863352,0.492199363,1.930992323
1.839680523,-1.654662829,1.577631444,1.339876042,0.756675678
0.734171265,-0.614420842,-0.010060642,1.12112077,1.08470841
-0.02071395,0.089535032,-0.119601669,0.533215976,-0.20918239
-0.379477479,0.619002397,-0.119601669,-0.027344409,-0.322386978
-0.476629558,0.715237953,-0.119601669,-0.232427477,-0.537215122
-0.364555087,0.653776397,-0.045845424,-0.232427477,-0.356551023
0.73218857,-0.862764013,1.196652834,0.095705432,-0.02793924
1.296839371,-1.438734157,0.91617839,1.421909269,0.272588541
1.759746589,-2.007327999,1.15956841,3.103590425,2.815204116
0.665403038,-0.4917039,-0.04969798,3.130934834,0.408376141
-0.137171221,0.539420792,-0.119601669,2.283258154,-0.43327536
-0.27053358,0.767765477,-0.119601669,0.533215976,-0.143460034
-0.444802078,0.825882498,-0.119601669,-0.095705432,-0.295171553
-0.383964632,0.607525602,0.011677765,-0.095705432,-0.503340603
0.660394123,-0.692536349,1.786667123,0.041016614,-0.213814803
1.507213797,-1.441941246,2.185430513,0.300788499,1.362942703
1.575668967,-1.281518109,1.548203381,0.779315657,2.346461846
0.416522579,-0.410724922,0.090847803,0.834004475,1.087024616
-0.387408261,0.365230084,-0.119601669,0.410166135,-0.14577624
